id,name,type
n1002,DeleteCommand,Structure
n1050,StandardDrawing,Structure
n1051,TextFigure,Structure
n1056,FigureEnumeration,Structure
n1065,PertDependency,Structure
n1066,BoxHandleKit,Structure
n1076,SendToBackCommand,Structure
n108,HandleTracker,Structure
n1089,DrawingView,Structure
n1090,RectangleFigure,Structure
n110,EllipseFigure,Structure
n1100,Iconkit,Structure
n1107,ArrowTip,Structure
n1129,ConnectionFigure,Structure
n113,JavaDrawApplet,Structure
n1138,CommandButton,Structure
n1158,LineConnection,Structure
n1168,FigureChangeEvent,Structure
n1203,OffsetLocator,Structure
n1223,EastHandle,Structure
n1235,AlignCommand,Structure
n1243,SouthWestHandle,Structure
n1248,PolyLineLocator,Structure
n1255,AbstractFigure,Structure
n1265,Figure,Structure
n1268,DragTracker,Structure
n1281,ConnectionHandle,Structure
n1282,FollowURLTool,Structure
n1293,SelectionTool,Structure
n1308,ChopEllipseConnector,Structure
n131,Command,Structure
n1346,FigureSelection,Structure
n1367,ChopBoxConnector,Structure
n1373,FigureEnumerator,Structure
n1387,StandardDrawingView,Structure
n1392,MySelectionTool,Structure
n140,GroupFigure,Structure
n1427,AnimationDecorator,Structure
n1452,CutCommand,Structure
n1454,HJDError,Structure
n1458,BouncingDrawing,Structure
n1469,Handle,Structure
n1472,LineFigure,Structure
n1479,JavaDrawViewer,Structure
n1483,AbstractHandle,Structure
n1493,FontSizeHandle,Structure
n150,CommandChoice,Structure
n1503,FigureChangeListener,Structure
n1505,ToolButton,Structure
n1507,ColorEntry,Structure
n1509,ScribbleTool,Structure
n1534,Painter,Structure
n1561,JavaDrawApp,Structure
n1576,Filler,Structure
n1590,DrawingEditor,Structure
n1595,NumberTextFigure,Structure
n16,CommandMenu,Structure
n160,PertFigureCreationTool,Structure
n1628,PaletteLayout,Structure
n1632,NorthEastHandle,Structure
n1640,ReverseFigureEnumerator,Structure
n1646,RelativeLocator,Structure
n1662,PolygonTool,Structure
n1670,RadiusHandle,Structure
n1679,Connector,Structure
n1686,AbstractConnector,Structure
n1697,NetApp,Structure
n1701,NothingApp,Structure
n1702,FigureAttributes,Structure
n1718,CompositeFigure,Structure
n1722,SleeperThread,Structure
n1734,PatternPainter,Structure
n1737,ActionTool,Structure
n1743,SimpleUpdateStrategy,Structure
n1781,FloatingTextField,Structure
n1791,DrawingChangeEvent,Structure
n1805,NodeFigure,Structure
n1814,NullHandle,Structure
n1817,ImageFigure,Structure
n1825,NorthHandle,Structure
n1852,AttributeFigure,Structure
n1862,ReverseVectorEnumerator,Structure
n187,StorableInput,Structure
n1902,NothingApplet,Structure
n191,ToggleGridCommand,Structure
n203,TriangleFigure,Structure
n204,ColorMap,Structure
n215,SouthEastHandle,Structure
n236,PaletteButton,Structure
n25,ElbowConnection,Structure
n268,PaletteListener,Structure
n27,SelectAreaTracker,Structure
n298,LineDecoration,Structure
n321,PointConstrainer,Structure
n328,AbstractLocator,Structure
n340,ConnectionTool,Structure
n352,BorderTool,Structure
n357,TriangleRotationHandle,Structure
n358,PolyLineFigure,Structure
n365,ChangeConnectionHandle,Structure
n373,Locator,Structure
n379,LocatorConnector,Structure
n387,WestHandle,Structure
n393,CreationTool,Structure
n400,ChangeConnectionEndHandle,Structure
n402,SouthHandle,Structure
n419,Geom,Structure
n425,UngroupCommand,Structure
n426,URLTool,Structure
n427,RoundRectangleFigure,Structure
n431,TextTool,Structure
n439,GroupHandle,Structure
n448,CopyCommand,Structure
n456,PolygonFigure,Structure
n462,ElbowTextLocator,Structure
n466,PasteCommand,Structure
n525,Animator,Structure
n527,PertApplication,Structure
n537,AbstractTool,Structure
n54,BringToFrontCommand,Structure
n541,TextHolder,Structure
n545,StorableOutput,Structure
n548,Tool,Structure
n556,Animatable,Structure
n565,PolyLineHandle,Structure
n570,Storable,Structure
n593,InsertImageCommand,Structure
n606,ElbowHandle,Structure
n622,BufferedUpdateStrategy,Structure
n627,PaletteIcon,Structure
n649,PertFigure,Structure
n675,PolygonHandle,Structure
n706,Clipboard,Structure
n711,PolyLineConnector,Structure
n722,DrawApplication,Structure
n751,Drawing,Structure
n768,ShortestDistanceConnector,Structure
n769,ConnectedTextTool,Structure
n77,PertApplet,Structure
n779,NorthWestHandle,Structure
n781,GroupCommand,Structure
n791,ChangeConnectionStartHandle,Structure
n805,FigureTransferCommand,Structure
n815,ChangeAttributeCommand,Structure
n837,FigureChangeEventMulticaster,Structure
n857,BorderDecorator,Structure
n864,LocatorHandle,Structure
n874,DuplicateCommand,Structure
n88,DiamondFigure,Structure
n885,PolygonScaleHandle,Structure
n905,GridConstrainer,Structure
n939,DecoratorFigure,Structure
n951,ChopPolygonConnector,Structure
n973,DrawApplet,Structure
n994,DrawingChangeListener,Structure